id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
73,Luc Abalo,M,31.0,182.0,86.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
149,Mara Katherine Abbott,F,30.0,163.0,52.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",
356,Adlan Aliyevich Abdurashidov,M,26.0,172.0,60.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,
402,Arthur Abele,M,30.0,184.0,85.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,
444,Camille Anne Franoise Abily,F,31.0,168.0,60.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
451,Diana Monteiro Abla,F,21.0,175.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,
455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,
455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
465,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
465,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
579,Anastasiya Aleksandrovna Abrosimova,F,26.0,164.0,51.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,
583,Julien Absalon,M,35.0,180.0,68.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",
750,Seiya Adachi,M,21.0,172.0,67.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,
769,Leonie Adam,F,23.0,162.0,54.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Women's Individual,
811,Natalie Cammile Adams (-Brannan),F,24.0,173.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,
823,Liam Adams,M,29.0,178.0,64.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,
827,Mareike Adams,F,26.0,174.0,73.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,
832,Nicola Virginia Adams,F,33.0,164.0,51.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
834,Paul Adams,M,24.0,185.0,98.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,
837,Rachael Alexis Adams,F,26.0,188.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
867,"Christopher Thomas ""Chris"" Adcock",M,27.0,183.0,80.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,
869,"Gabrielle Marie ""Gabby"" Adcock (White-)",F,25.0,167.0,,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,
925,Adenzia Aparecida Ferreira da Silva,F,29.0,187.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
961,"Bradley Don ""Brad"" Adkins",M,22.0,188.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,
1017,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1017,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1023,"Adriana ""Adrianinha"" Moiss Pinto",F,37.0,170.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
1093,Marina Anatolyevna Aframeyeva,F,25.0,171.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",
1131,Clarisse Agbegnenou,F,23.0,164.0,66.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Silver
1173,Yannick Agnel,M,24.0,202.0,90.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,
1203,Renzo Pasquale Zeglio Agresta,M,31.0,181.0,76.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",
1356,Christian Ahlmann,M,41.0,189.0,80.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",
1356,Christian Ahlmann,M,41.0,189.0,80.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
1453,Nicole Ahsinger,F,18.0,163.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Women's Individual,
1464,Ai Yanhan,F,14.0,168.0,54.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,
1464,Ai Yanhan,F,14.0,168.0,54.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
1465,Jrmy Aicardi,M,27.0,178.0,83.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,
1481,Hannes Aigner,M,27.0,183.0,75.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, Slalom",
1488,Harry Leslie Aikines-Aryeetey,M,27.0,180.0,87.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,
