name,age,weight,height,noc,sport,sex
A Dijiang,24.0,80.0,180.0,CHN,Basketball,M
"David ""Dave"" Abbott",26.0,75.0,183.0,USA,Athletics,M
Youcef Abdi,30.0,66.0,178.0,AUS,Athletics,M
Youcef Abdi,34.0,66.0,178.0,AUS,Athletics,M
"Abdihakim ""Abdi"" Abdirahman",23.0,61.0,178.0,USA,Athletics,M
"Abdihakim ""Abdi"" Abdirahman",27.0,61.0,178.0,USA,Athletics,M
"Abdihakim ""Abdi"" Abdirahman",31.0,61.0,178.0,USA,Athletics,M
"Abdihakim ""Abdi"" Abdirahman",35.0,61.0,178.0,USA,Athletics,M
Julius Shareef Abdur-Rahim,23.0,104.0,202.0,USA,Basketball,M
Isao Ko Abe,24.0,75.0,177.0,JPN,Athletics,M
Naoki Abe,23.0,68.0,173.0,JPN,Athletics,M
Shigeaki Abe,24.0,70.0,178.0,JPN,Basketball,M
Shigeaki Abe,28.0,70.0,178.0,JPN,Basketball,M
Katja Abel,25.0,55.0,165.0,GER,Gymnastics,F
Arthur Abele,22.0,85.0,184.0,GER,Athletics,M
Arthur Abele,30.0,85.0,184.0,GER,Athletics,M
Mitsuhiro Abiko,19.0,62.0,169.0,JPN,Athletics,M
Tomomi Abiko,24.0,53.0,173.0,JPN,Athletics,F
"Edgar Allen ""Ed"" Ablowich",19.0,68.0,182.0,USA,Athletics,M
"Matthew ""Matt"" Abood",30.0,92.0,197.0,AUS,Swimming,M
"Alexander ""Alex"" Abraham (Steglitz)",25.0,84.0,186.0,GER,Athletics,M
Gary Abraham,17.0,64.0,175.0,GBR,Swimming,M
Gary Abraham,21.0,64.0,175.0,GBR,Swimming,M
Harold Maurice Abrahams,20.0,75.0,183.0,GBR,Athletics,M
Harold Maurice Abrahams,24.0,75.0,183.0,GBR,Athletics,M
Brian Kenneth Abshire,24.0,59.0,180.0,USA,Athletics,M
Ginko Abukawa-Chiba,22.0,46.0,148.0,JPN,Gymnastics,F
Ginko Abukawa-Chiba,26.0,46.0,148.0,JPN,Gymnastics,F
