sport,medal,medal_count
Aeronautics,Gold,1
Alpine Skiing,Bronze,141
Alpine Skiing,Gold,143
Alpine Skiing,Silver,144
Alpinism,Gold,25
Archery,Bronze,98
Archery,Gold,135
Archery,Silver,120
Art Competitions,Bronze,51
Art Competitions,Gold,49
Art Competitions,Silver,56
Athletics,Bronze,1296
Athletics,Gold,1339
Athletics,Silver,1334
Badminton,Bronze,60
Badminton,Gold,54
Badminton,Silver,54
Baseball,Bronze,112
Baseball,Gold,112
Baseball,Silver,112
Basketball,Bronze,356
Basketball,Gold,365
Basketball,Silver,359
Basque Pelota,Gold,2
Beach Volleyball,Bronze,24
Beach Volleyball,Gold,24
Beach Volleyball,Silver,24
Biathlon,Bronze,135
Biathlon,Gold,136
Biathlon,Silver,137
Bobsleigh,Bronze,136
Bobsleigh,Gold,133
Bobsleigh,Silver,129
Boxing,Bronze,441
Boxing,Gold,252
Boxing,Silver,251
Canoeing,Bronze,389
Canoeing,Gold,388
Canoeing,Silver,388
Cricket,Gold,12
Cricket,Silver,12
Croquet,Bronze,2
Croquet,Gold,4
Croquet,Silver,2
Cross Country Skiing,Bronze,263
Cross Country Skiing,Gold,256
Cross Country Skiing,Silver,257
Curling,Bronze,49
Curling,Gold,50
Curling,Silver,53
Cycling,Bronze,414
Cycling,Gold,424
Cycling,Silver,425
Diving,Bronze,143
Diving,Gold,142
Diving,Silver,142
Equestrianism,Bronze,319
Equestrianism,Gold,324
Equestrianism,Silver,322
Fencing,Bronze,566
Fencing,Gold,594
Fencing,Silver,583
Figure Skating,Bronze,127
Figure Skating,Gold,131
Figure Skating,Silver,128
Football,Bronze,543
Football,Gold,515
Football,Silver,513
Freestyle Skiing,Bronze,34
Freestyle Skiing,Gold,34
Freestyle Skiing,Silver,34
Golf,Bronze,16
Golf,Gold,15
Golf,Silver,15
Gymnastics,Bronze,719
Gymnastics,Gold,791
Gymnastics,Silver,746
Handball,Bronze,353
Handball,Gold,349
Handball,Silver,358
Hockey,Bronze,512
Hockey,Gold,518
Hockey,Silver,498
Ice Hockey,Bronze,507
Ice Hockey,Gold,508
Ice Hockey,Silver,515
Jeu De Paume,Bronze,1
Jeu De Paume,Gold,1
Jeu De Paume,Silver,1
Judo,Bronze,274
Judo,Gold,137
Judo,Silver,136
Lacrosse,Bronze,12
Lacrosse,Gold,24
Lacrosse,Silver,24
Luge,Bronze,60
Luge,Gold,62
Luge,Silver,58
Military Ski Patrol,Bronze,4
Military Ski Patrol,Gold,4
Military Ski Patrol,Silver,4
Modern Pentathlon,Bronze,62
Modern Pentathlon,Gold,62
Modern Pentathlon,Silver,62
Motorboating,Gold,7
Nordic Combined,Bronze,55
Nordic Combined,Gold,55
Nordic Combined,Silver,55
Polo,Bronze,20
Polo,Gold,22
Polo,Silver,25
Racquets,Bronze,4
Racquets,Gold,3
Racquets,Silver,3
Rhythmic Gymnastics,Bronze,44
Rhythmic Gymnastics,Gold,44
Rhythmic Gymnastics,Silver,44
Roque,Bronze,1
Roque,Gold,1
Roque,Silver,1
Rowing,Bronze,990
Rowing,Gold,978
Rowing,Silver,977
Rugby,Bronze,16
Rugby,Gold,67
Rugby,Silver,79
Rugby Sevens,Bronze,25
Rugby Sevens,Gold,25
Rugby Sevens,Silver,24
Sailing,Bronze,367
Sailing,Gold,450
Sailing,Silver,415
Shooting,Bronze,407
Shooting,Gold,410
Shooting,Silver,411
Short Track Speed Skating,Bronze,94
Short Track Speed Skating,Gold,95
Short Track Speed Skating,Silver,95
Skeleton,Bronze,10
Skeleton,Gold,10
Skeleton,Silver,10
Ski Jumping,Bronze,68
Ski Jumping,Gold,69
Ski Jumping,Silver,70
Snowboarding,Bronze,30
Snowboarding,Gold,30
Snowboarding,Silver,30
Softball,Bronze,59
Softball,Gold,60
Softball,Silver,60
Speed Skating,Bronze,190
Speed Skating,Gold,193
Speed Skating,Silver,197
Swimming,Bronze,956
Swimming,Gold,1099
Swimming,Silver,993
Synchronized Swimming,Bronze,70
Synchronized Swimming,Gold,74
Synchronized Swimming,Silver,71
Table Tennis,Bronze,60
Table Tennis,Gold,54
Table Tennis,Silver,54
Taekwondo,Bronze,64
Taekwondo,Gold,40
Taekwondo,Silver,40
Tennis,Bronze,128
Tennis,Gold,106
Tennis,Silver,106
Trampolining,Bronze,10
Trampolining,Gold,10
Trampolining,Silver,10
Triathlon,Bronze,10
Triathlon,Gold,10
Triathlon,Silver,10
Tug-Of-War,Bronze,29
Tug-Of-War,Gold,43
Tug-Of-War,Silver,43
Volleyball,Bronze,325
Volleyball,Gold,322
Volleyball,Silver,322
Water Polo,Bronze,360
Water Polo,Gold,350
Water Polo,Silver,347
Weightlifting,Bronze,216
Weightlifting,Gold,217
Weightlifting,Silver,213
Wrestling,Bronze,468
Wrestling,Gold,413
Wrestling,Silver,415
