year,noc,medal_count
1896,AUS,3
1896,AUT,5
1896,DEN,6
1896,FRA,11
1896,GBR,9
1896,GER,32
1896,GRE,48
1896,HUN,6
1896,SUI,3
1896,USA,20
1900,AUS,6
1900,AUT,6
1900,BEL,43
1900,BOH,3
1900,CAN,2
1900,COL,1
1900,CUB,2
1900,DEN,9
1900,ESP,2
1900,FRA,235
1900,GBR,108
1900,GER,45
1900,HAI,1
1900,HUN,5
1900,IND,2
1900,ITA,5
1900,LUX,1
1900,MEX,3
1900,NED,27
1900,NOR,9
1900,NZL,1
1900,SUI,21
1900,SWE,4
1900,USA,63
1904,AUS,4
1904,AUT,4
1904,CAN,48
1904,CUB,5
1904,FRA,2
1904,GBR,2
1904,GER,16
1904,GRE,2
1904,HUN,4
1904,NOR,2
1904,SUI,3
1904,USA,394
1906,AUS,3
1906,AUT,9
1906,BEL,11
1906,BOH,3
1906,CAN,2
1906,DEN,34
1906,FIN,4
1906,FRA,64
1906,GBR,39
1906,GER,30
1906,GRE,102
1906,HUN,13
1906,ITA,56
1906,NED,6
1906,NOR,25
1906,SUI,12
1906,SWE,21
1906,USA,24
1908,ANZ,19
1908,AUT,1
1908,BEL,33
1908,BOH,6
1908,CAN,52
1908,DEN,17
1908,FIN,30
1908,FRA,40
1908,GBR,368
1908,GER,21
1908,GRE,4
1908,HUN,20
1908,ITA,8
1908,NED,16
1908,NOR,42
1908,RSA,2
1908,RUS,3
1908,SWE,84
1908,USA,65
1912,ANZ,10
1912,AUT,14
1912,BEL,19
1912,CAN,8
1912,DEN,87
1912,FIN,71
1912,FRA,26
1912,GBR,170
1912,GER,53
1912,GRE,2
1912,HUN,30
1912,ITA,25
1912,NED,26
1912,NOR,80
1912,RSA,7
1912,RUS,14
1912,SUI,2
1912,SWE,190
1912,USA,107
1920,AUS,7
1920,BEL,188
1920,BRA,7
1920,CAN,16
1920,DEN,71
1920,ESP,23
1920,EST,3
1920,FIN,52
1920,FRA,141
1920,GBR,111
1920,GRE,5
1920,ITA,84
1920,JPN,3
1920,LUX,1
1920,NED,50
1920,NOR,137
1920,NZL,1
1920,RSA,21
1920,SUI,29
1920,SWE,154
1920,TCH,10
1920,USA,194
1924,ARG,10
1924,AUS,11
1924,AUT,8
1924,BEL,44
1924,CAN,29
1924,DEN,14
1924,EST,6
1924,FIN,67
1924,FRA,120
1924,GBR,95
1924,GRE,1
1924,HAI,5
1924,HUN,22
1924,IND,7
1924,IRL,2
1924,ITA,51
1924,JPN,1
1924,LUX,2
1924,MON,1
1924,NED,27
1924,NEP,1
1924,NOR,39
1924,NZL,1
1924,POL,5
1924,POR,4
1924,ROU,16
1924,RSA,3
1924,SUI,69
1924,SWE,81
1924,TCH,10
1924,URU,14
1924,USA,194
1924,YUG,2
1928,ARG,26
1928,AUS,4
1928,AUT,11
1928,BEL,6
1928,CAN,45
1928,CHI,1
1928,DEN,15
1928,EGY,4
1928,ESP,3
1928,EST,9
1928,FIN,29
1928,FRA,52
1928,GBR,59
1928,GER,82
1928,HAI,1
1928,HUN,21
1928,IND,14
1928,IRL,1
1928,ITA,72
1928,JPN,9
1928,LUX,1
1928,NED,57
1928,NOR,24
1928,NZL,1
1928,PHI,1
1928,POL,20
1928,POR,6
1928,RSA,6
1928,SUI,42
1928,SWE,53
1928,TCH,17
1928,URU,17
1928,USA,102
1928,YUG,12
1932,ARG,4
1932,AUS,5
1932,AUT,7
1932,BEL,1
1932,CAN,59
1932,DEN,11
1932,ESP,1
1932,FIN,32
1932,FRA,42
1932,GBR,35
1932,GER,57
1932,HUN,35
1932,IND,15
1932,IRL,2
1932,ITA,77
1932,JPN,31
1932,LAT,1
1932,MEX,2
1932,NED,13
1932,NOR,10
1932,NZL,2
1932,PHI,3
1932,POL,21
1932,RSA,5
1932,SUI,3
1932,SWE,35
1932,TCH,6
1932,URU,1
1932,USA,223
1936,ARG,11
1936,AUS,1
1936,AUT,60
1936,BEL,14
1936,CAN,35
1936,DEN,6
1936,EGY,5
1936,EST,7
1936,FIN,36
1936,FRA,45
1936,GBR,53
1936,GER,231
1936,HUN,43
1936,IND,19
1936,ITA,76
1936,JPN,23
1936,LAT,2
1936,MEX,16
1936,NED,37
1936,NOR,46
1936,NZL,1
1936,PHI,1
1936,POL,12
1936,POR,3
1936,ROU,1
1936,RSA,1
1936,SUI,62
1936,SWE,45
1936,TCH,18
1936,TUR,2
1936,USA,112
1936,YUG,1
1948,ARG,11
1948,AUS,16
1948,AUT,16
1948,BEL,21
1948,BRA,10
1948,CAN,22
1948,CUB,2
1948,DEN,51
1948,EGY,5
1948,ESP,3
1948,FIN,42
1948,FRA,77
1948,GBR,63
1948,HUN,64
1948,IND,20
1948,IRI,1
1948,IRL,1
1948,ITA,68
1948,JAM,3
1948,KOR,2
1948,MEX,9
1948,NED,42
1948,NOR,31
1948,PAN,2
1948,PER,1
1948,POL,2
1948,POR,5
1948,PUR,1
1948,RSA,6
1948,SRI,1
1948,SUI,64
1948,SWE,88
1948,TCH,37
1948,TTO,1
1948,TUR,12
1948,URU,3
1948,USA,168
1948,YUG,16
1952,ARG,6
1952,AUS,20
1952,AUT,11
1952,BEL,8
1952,BRA,3
1952,BUL,1
1952,CAN,21
1952,CHI,4
1952,DEN,9
1952,EGY,1
1952,ESP,1
1952,FIN,52
1952,FRA,41
1952,GBR,32
1952,GER,52
1952,HUN,104
1952,IND,15
1952,IRI,7
1952,IRL,1
1952,ITA,56
1952,JAM,8
1952,JPN,12
1952,KOR,2
1952,LIB,2
1952,LUX,1
1952,MEX,1
1952,NED,21
1952,NOR,32
1952,NZL,3
1952,POL,4
1952,POR,2
1952,ROU,4
1952,RSA,14
1952,SUI,39
1952,SWE,93
1952,TCH,25
1952,TTO,2
1952,TUR,3
1952,URS,117
1952,URU,14
1952,USA,164
1952,VEN,1
1952,YUG,24
1956,ARG,2
1956,AUS,67
1956,AUT,16
1956,BAH,2
1956,BEL,2
1956,BRA,1
1956,BUL,18
1956,CAN,39
1956,CHI,4
1956,DEN,6
1956,FIN,38
1956,FRA,33
1956,GBR,46
1956,GER,54
1956,GRE,1
1956,HUN,66
1956,IND,17
1956,IRI,5
1956,IRL,5
1956,ISL,1
1956,ITA,55
1956,JPN,25
1956,KOR,2
1956,MEX,2
1956,NOR,7
1956,NZL,3
1956,PAK,14
1956,POL,20
1956,ROU,19
1956,RSA,7
1956,SUI,13
1956,SWE,49
1956,TCH,7
1956,TUR,7
1956,URS,206
1956,URU,12
1956,USA,149
1956,YUG,23
1960,ARG,4
1960,AUS,46
1960,AUT,9
1960,BEL,4
1960,BRA,13
1960,BUL,7
1960,CAN,30
1960,DEN,23
1960,ESP,14
1960,ETH,1
1960,FIN,19
1960,FRA,15
1960,GBR,28
1960,GER,98
1960,GHA,1
1960,GRE,3
1960,HUN,66
1960,IND,13
1960,IRI,4
1960,IRQ,1
1960,ITA,89
1960,JPN,31
1960,MAR,1
1960,MEX,1
1960,NED,5
1960,NOR,11
1960,NZL,3
1960,PAK,14
1960,POL,32
1960,POR,2
1960,ROU,15
1960,RSA,3
1960,SGP,1
1960,SUI,14
1960,SWE,16
1960,TCH,23
1960,TPE,1
1960,TUR,9
1960,UAR,2
1960,URS,211
1960,USA,152
1960,VEN,1
1960,WIF,5
1960,YUG,17
1964,ARG,1
1964,AUS,44
1964,AUT,17
1964,BAH,2
1964,BEL,3
1964,BRA,12
1964,BUL,10
1964,CAN,12
1964,CUB,1
1964,DEN,12
1964,ETH,1
1964,FIN,20
1964,FRA,38
1964,GBR,30
1964,GER,126
1964,GHA,1
1964,HUN,56
1964,IND,15
1964,IRI,2
1964,IRL,1
1964,ITA,61
1964,JPN,62
1964,KEN,1
1964,KOR,3
1964,MEX,1
1964,NED,33
1964,NGR,1
1964,NOR,15
1964,NZL,6
1964,PAK,16
1964,PHI,1
1964,POL,46
1964,PRK,1
1964,ROU,16
1964,SUI,6
1964,SWE,43
1964,TCH,71
1964,TTO,6
1964,TUN,2
1964,TUR,6
1964,URS,221
1964,URU,1
1964,USA,177
1964,YUG,15
1968,ARG,2
1968,AUS,51
1968,AUT,20
1968,BEL,3
1968,BRA,4
1968,BUL,26
1968,CAN,30
1968,CMR,1
1968,CUB,10
1968,DEN,17
1968,ETH,2
1968,FIN,12
1968,FRA,36
1968,FRG,61
1968,GBR,19
1968,GDR,58
1968,GRE,1
1968,HUN,81
1968,IND,16
1968,IRI,5
1968,ITA,41
1968,JAM,1
1968,JPN,63
1968,KEN,12
1968,KOR,2
1968,MEX,9
1968,MGL,4
1968,NED,23
1968,NOR,28
1968,NZL,7
1968,PAK,13
1968,POL,37
1968,ROU,25
1968,SUI,22
1968,SWE,25
1968,TCH,50
1968,TPE,1
1968,TUN,2
1968,TUR,2
1968,UGA,2
